MaizeGDB: Details of Map Genetic 2
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
LOC100194073	94.31		GRMZM2G173926	Chr2	170671956	170674574	Zm00001d005456	Chr2	174866938	174869050	Zm00001eb096940	chr2	174552351	174554493																																	
cda2	94.32		GRMZM2G008216	Chr2	170859967	170862507	Zm00001d005459	Chr2	174943009	174945711	Zm00001eb096970	chr2	174628351	174631130																																	
Zm00001d005458	94.32		GRMZM2G308956	Chr2	170855582	170856528	Zm00001d005458	Chr2	174938654	174942588	Zm00001eb096960	chr2	174624158	174625146																																	
crt4	94.33		GRMZM2G074687	Chr2	170898831	170902781	Zm00001d005460	Chr2	174981909	174985881	Zm00001eb096980	chr2	174667316	174671251																																	
Zm00018ab460050	94.34		GRMZM2G074567	Chr2	170931548	170934897	Zm00001d005461	Chr2	175015114	175016058	Zm00001eb096990	chr2	174700059	174703247	Zm00018ab460050	scaf_601	29723	32978																													
umc2178	94.35		GRMZM5G824689	Chr2	170163012	170163393																																									
si660023c07	94.35						Zm00001d005465	Chr2	175164223	175165140	Zm00001eb097020	chr2	174849587	174850886																																	
pmei13	94.35		GRMZM2G482245	Chr2	171082765	171084387	Zm00001d005464	Chr2	175156039	175156779	Zm00001eb097010	chr2	174841335	174843031																																	
mcj1	94.36		GRMZM2G402417	Chr2	171271427	171273196	Zm00001d005472	Chr2	175349736	175351455	Zm00001eb097070	chr2	175035237	175036963																																	
cl53957_1a	94.36		GRMZM2G101596	Chr2	171311847	171317712	Zm00001d005473	Chr2	175395655	175401157	Zm00001eb097080	chr2	175075633	175081628																																	
Zm00001eb097100	94.36		GRMZM2G082580	Chr2	171408315	171412367	Zm00001d005478	Chr2	175506166	175511789	Zm00001eb097100	chr2	175186528	175192321																																	
jac2	94.36		GRMZM2G008313	Chr2	171254712	171257815	Zm00001d005471	Chr2	175332998	175335575	Zm00001eb097060	chr2	175016501	175021155																																	
phb1	94.37		GRMZM2G134955	Chr2	171554524	171555173	Zm00001d005485	Chr2	175607776	175613053	Zm00001eb097180	chr2	175288204	175293409																																	
cl5705_1a	94.37		GRMZM2G067756	Chr2	171494733	171498443	Zm00001d005480	Chr2	175580220	175583917	Zm00001eb097130	chr2	175260624	175264359																																	
pco074056(159)	94.37		GRMZM2G145895	Chr2	171510928	171513398	Zm00001d005482	Chr2	175596000	175598464	Zm00001eb097150	chr2	175276413	175278940																																	
pld12	94.37		GRMZM2G145944	Chr2	171514014	171519145	Zm00001d005484	Chr2	175599089	175605258	Zm00001eb097160	chr2	175279435	175285848																																	
nrat7	94.37		GRMZM2G366919	Chr2	171488842	171494594	Zm00001d005479	Chr2	175573813	175580218	Zm00001eb097120	chr2	175254194	175260693																																	
IDP866	94.38		GRMZM2G176977	Chr2	171703507	171711295	Zm00001d005489	Chr2	175795127	175802848	Zm00001eb097200	chr2	175475501	175483467																																	
LOC103649098	94.38		GRMZM2G433948	Chr2	171550565	171551858					Zm00001eb097190	chr2	175296814	175297203																																	
pmei41	94.39		GRMZM2G035490	Chr2	171730708	171731527	Zm00001d005490	Chr2	175825128	175825694	Zm00001eb097210	chr2	175505586	175506152																																	
ras11A1	94.40		GRMZM2G029486	Chr2	171861073	171864772	Zm00001d005495	Chr2	175967213	175970912	Zm00001eb097220	chr2	175647686	175651232																																	
cl15186_1b	94.41		GRMZM2G029632	Chr2	171865766	171870519	Zm00001d005497	Chr2	175971908	175976643	Zm00001eb097230	chr2	175652292	175657194																																	
cl4750_1	94.42		GRMZM2G047431	Chr2	171891545	171897994	Zm00001d005498	Chr2	175999839	176006292	Zm00001eb097240	chr2	175680290	175686824																																	
ho4	94.44						Zm00001d005499	Chr2	176226966	176231995	Zm00001eb097250	chr2	175870686	175871559																																	
Zm00001d005500	94.53						Zm00001d005500	Chr2	176232722	176233656	Zm00001eb097280	chr2	175876348	175877145																																	
prh27	94.55		GRMZM2G147885	Chr2	172156792	172163337	Zm00001d005501	Chr2	176332667	176339738	Zm00001eb097290	chr2	175976812	175983280																																	
pco062669	94.57		GRMZM2G018775	Chr2	172370772	172378257	Zm00001d005502	Chr2	176553637	176561230	Zm00001eb097300	chr2	176197093	176206154																																	
cl14620_1	94.59		GRMZM2G018955	Chr2	172379897	172384237	Zm00001d005503	Chr2	176562853	176567171	Zm00001eb097310	chr2	176206442	176210727																																	
ras11E2	94.68		GRMZM2G019119	Chr2	172384492	172387622	Zm00001d005504	Chr2	176567431	176570578	Zm00001eb097330	chr2	176210987	176214115																																	
umc1875	94.69		GRMZM2G146685	Chr2	172459095	172462208	Zm00001d005506	Chr2	176645346	176648449	Zm00001eb097340	chr2	176288896	176292009																																	
LOC100279374	94.69		GRMZM2G446872	Chr2	172462534	172475568	Zm00001d005507	Chr2	176648910	176662238	Zm00001eb097360	chr2	176292733	176305734																																	
bnlg1138	94.70		GRMZM2G014106	Chr2	172889948	172900259	Zm00001d005516	Chr2	177061818	177071736	Zm00001eb097400	chr2	176732762	176743177																																	
pco137067b	94.70		GRMZM2G030312	Chr2	172784377	172789620	Zm00001d005513	Chr2	176946884	176956922	Zm00001eb097390	chr2	176618204	176628402																																	
pco080432	94.70		GRMZM2G067514	Chr2	173039978	173044426	Zm00001d005520	Chr2	177218082	177221636	Zm00001eb097480	chr2	176889421	176893129																																	
Zm00001eb097410	94.70		GRMZM2G014270	Chr2	172900942	172904161	Zm00001d005517	Chr2	177072895	177075399	Zm00001eb097410	chr2	176744684	176745028																																	
akh2	94.71		GRMZM2G104546	Chr2	173486913	173506976	Zm00001d005535	Chr2	177655850	177675449	Zm00001eb097580	chr2	177327182	177347485																																	
cl25406_3a	94.71		GRMZM2G000601	Chr2	173344295	173348659	Zm00001d005532	Chr2	177521140	177524929	Zm00001eb097550	chr2	177192537	177196433																																	
LOC103647342	94.71		GRMZM2G412276	Chr2	173128329	173133700	Zm00001d005528	Chr2	177301062	177306292	Zm00001eb097510	chr2	176972503	176977928																																	
Zm00001eb097540	94.71		AC207314.3_FG001	Chr2	173240116	173240427					Zm00001eb097540	chr2	177109362	177109890																																	
ppt1	94.72		GRMZM2G047404	Chr2	173925593	173929511	Zm00001d005542	Chr2	178096528	178100358	Zm00001eb097690	chr2	177768029	177771917																																	
fc1	94.72		GRMZM2G047095	Chr2	173887377	173894291	Zm00001d005539	Chr2	178058279	178065291	Zm00001eb097670	chr2	177729794	177736716																																	
agp1	94.73		GRMZM2G106213	Chr2	174023583	174034507	Zm00001d005546	Chr2	178195810	178206466	Zm00001eb097730	chr2	177867259	177877990																																	
dnaJ27	94.73		GRMZM2G346863	Chr2	173957527	173958792	Zm00001d005543	Chr2	178128443	178129663																																					
glk60	94.74		GRMZM2G090061	Chr2	174067296	174069386	Zm00001d005547	Chr2	178261462	178270758	Zm00001eb097740	chr2	177932917	177942242																																	
Zm00001eb097780	94.75		GRMZM2G038730	Chr2	174102861	174104171	Zm00001d005554	Chr2	178299637	178303185	Zm00001eb097780	chr2	177971198	177975168																																	
sdg110b	94.76		GRMZM2G033694	Chr2	174419091	174436402	Zm00001d005563	Chr2	178602264	178619387	Zm00001eb097830	chr2	178273029	178290323																																	
tml2	94.77		GRMZM2G134998	Chr2	174474853	174476373	Zm00001d005566	Chr2	178663502	178665013	Zm00001eb097850	chr2	178334043	178335784																																	
IDP2141	94.78		GRMZM2G078959	Chr2	174585722	174589995	Zm00001d005570	Chr2	178765358	178768491	Zm00001eb097880	chr2	178435901	178439587																																	
pco078151a	94.79		GRMZM2G138178	Chr2	174739894	174753703	Zm00001d005573	Chr2	178919567	178933420	Zm00001eb097890	chr2	178590386	178604269																																	
LOC109944045	94.81		GRMZM2G138203	Chr2	174766782	174769167	Zm00001d000978	Chr2	178956331	178957223																																					
umc1923	94.85																																														
LOC103647360	94.98		GRMZM2G108698	Chr2	175067501	175069068	Zm00001d005577	Chr2	179271866	179273524	Zm00001eb097920	chr2	178942561	178944328																																	
bzip40	95.00		AC203957.3_FG004	Chr2	175112514	175113156	Zm00001d005578	Chr2	179315956	179317710	Zm00001eb097930	chr2	178986695	178988090																																	
IDP7426	95.10		GRMZM2G050658	Chr2	175119347	175125695	Zm00001d005579	Chr2	179323021	179329228	Zm00001eb097940	chr2	178993872	179000079																																	
LOC118476393	95.12		GRMZM2G091857	Chr2	175208055	175209178					Zm00001eb097950	chr2	179083005	179088117																																	
jpsb365b	95.13																																														
umc1755	95.15		GRMZM2G398089	Chr2	175252499	175253505	Zm00001d005581	Chr2	179457322	179457831	Zm00001eb097960	chr2	179127734	179128603																																	
IDP6796	95.16		GRMZM2G410925	Chr2	175316455	175318232	Zm00001d005583	Chr2	179523071	179523442	Zm00001eb097980	chr2	179193117	179193966																																	
hb131	95.17		GRMZM2G111204	Chr2	175320204	175326578	Zm00001d005584	Chr2	179525467	179531907	Zm00001eb097990	chr2	179195992	179202378																																	
cl38736_1b	95.18		GRMZM2G116004	Chr2	175593238	175597318	Zm00001d005586	Chr2	179797901	179801854	Zm00001eb098030	chr2	179459972	179463946																																	
nbcs5	95.20		GRMZM2G100484	Chr2	175732183	175737110	Zm00001d005590	Chr2	180005803	180013761	Zm00001eb098070	chr2	179634442	179639428																																	
si603002g01a	95.21						Zm00001d005596	Chr2	180174459	180174934																																					
IDP8156	95.21						Zm00001d005598	Chr2	180222268	180234088	Zm00001eb098110	chr2	179847878	179859956																																	
stp7	95.21						Zm00001d005594	Chr2	180121139	180123254	Zm00001eb098100	chr2	179746388	179749058																																	
IDP7765	95.22						Zm00001d005602	Chr2	180430152	180430769	Zm00001eb098150	chr2	180055847	180067669																																	
hct27	95.23		GRMZM2G177349	Chr2	176015025	176016417	Zm00001d005607	Chr2	180548102	180551841	Zm00001eb098190	chr2	180175862	180177775																																	
prh7	95.24		GRMZM2G082487	Chr2	176186305	176187719	Zm00001d005609	Chr2	180648852	180649904	Zm00001eb098220	chr2	180274627	180276009																																	
pco097124a	95.26		GRMZM2G039900	Chr2	176162603	176165097	Zm00001d005612	Chr2	180671311	180673246	Zm00001eb098230	chr2	180296634	180299146																																	
fold1	95.28		GRMZM2G130790	Chr2	176135405	176144448	Zm00001d005614	Chr2	180730952	180739978	Zm00001eb098250	chr2	180356807	180366359																																	
mmp229	95.29		GRMZM2G110816	Chr2	176273865	176275656	Zm00001d005620	Chr2	180837844	180839608	Zm00001eb098300	chr2	180463741	180465530																																	
wrky38	95.30		GRMZM2G163418	Chr2	176398481	176400987	Zm00001d005622	Chr2	180965628	180967221	Zm00001eb098330	chr2	180591437	180593476																																	
fad13	95.32		GRMZM2G179120	Chr2	176476208	176479270	Zm00001d005624	Chr2	181044326	181045720	Zm00001eb098340	chr2	180670059	180672661																																	
cl38068_1a	95.35		GRMZM2G347743	Chr2	176597564	176605209	Zm00001d005627	Chr2	181165986	181173007	Zm00001eb098370	chr2	180791896	180799177																																	
IDP7370	95.37		GRMZM2G037113	Chr2	176664594	176668027	Zm00001d005629	Chr2	181232426	181235733	Zm00001eb098390	chr2	180858858	180861884																																	
umc1004	95.45		GRMZM2G098076	Chr2	176884476	176890163	Zm00001d005636	Chr2	181459859	181465569	Zm00001eb098450	chr2	181085750	181091525																																	
LOC103647379	95.46		GRMZM2G113633	Chr2	177009669	177011553	Zm00001d005639	Chr2	181625391	181630233	Zm00001eb098470	chr2	181229255	181231589																																	
si946037d12	95.48		GRMZM2G579432	Chr2	177088748	177097793	Zm00001d005641	Chr2	181705802	181715994	Zm00001eb098500	chr2	181318037	181318904																																	
pco090313a	95.49		GRMZM5G868354	Chr2	177200642	177204324	Zm00001d005645	Chr2	181818631	181822298	Zm00001eb098520	chr2	181421490	181425179																																	
Zm00001eb098510	95.49		GRMZM5G890561	Chr2	177114907	177116705	Zm00001d005642	Chr2	181731962	181733845	Zm00001eb098510	chr2	181334786	181336694																																	
Zm00001d005647	95.50		GRMZM2G150806	Chr2	177255365	177260763	Zm00001d005647	Chr2	181872595	181877925	Zm00001eb098540	chr2	181475385	181480882																																	
hir2	95.51		GRMZM2G150762	Chr2	177284136	177287072	Zm00001d005648	Chr2	181901483	181904315	Zm00001eb098560	chr2	181504201	181507166																																	
vdac1a	95.52		GRMZM2G150616	Chr2	177290831	177294514	Zm00001d005649	Chr2	181908131	181911665	Zm00001eb098580	chr2	181510915	181514588																																	
sdg119	95.60		GRMZM2G300955	Chr2	177370536	177375918	Zm00001d005650	Chr2	181987311	181992325	Zm00001eb098590	chr2	181590171	181595315																																	
LOC100275817	95.61		GRMZM2G373554	Chr2	177562558	177563503	Zm00001d005654	Chr2	182185442	182186092	Zm00001eb098620	chr2	181783798	181785081																																	
Zm00001eb098610	95.61		GRMZM2G167245	Chr2	177515945	177519337	Zm00001d005653	Chr2	182137851	182141418	Zm00001eb098610	chr2	181736617	181740156																																	
flz12	95.62		GRMZM2G051752	Chr2	177753432	177754662	Zm00001d005657	Chr2	182382405	182383968	Zm00001eb098640	chr2	181981412	181982265																																	
hipp23	95.62		GRMZM2G161846	Chr2	177655313	177656297	Zm00001d005656	Chr2	182284237	182285115	Zm00001eb098630	chr2	181883030	181883950																																	
trpp2	95.63		GRMZM2G140078	Chr2	177921904	177924464	Zm00001d005658	Chr2	182513911	182516018	Zm00001eb098650	chr2	182100911	182103453																																	
IDP3872	95.64		GRMZM2G140041	Chr2	177888657	177890611	Zm00001d005659	Chr2	182562638	182564592	Zm00001eb098660	chr2	182134762	182136709																																	
LOC100282683	95.66		GRMZM2G139903	Chr2	177825601	177833767	Zm00001d005662	Chr2	182619491	182627675	Zm00001eb098680	chr2	182191100	182199797																																	
sudh15	95.67						Zm00001d005663	Chr2	182688634	182689557	Zm00001eb098690	chr2	182260293	182261702																																	
pum7	95.69						Zm00001d005666	Chr2	182755798	182758430	Zm00001eb098710	chr2	182327972	182330653																																	
tlc5	95.70		GRMZM2G163426	Chr2	178087354	178090501	Zm00001d005671	Chr2	182856428	182859197	Zm00001eb098730	chr2	182428818	182431541																																	
Zm00001eb098760	95.71		GRMZM2G034848	Chr2	178145466	178159613	Zm00001d005674	Chr2	182914026	182928799	Zm00001eb098760	chr2	182486343	182501118																																	
emp2	95.72		GRMZM2G039155	Chr2	178295993	178300823	Zm00001d005675	Chr2	183064274	183068668	Zm00001eb098770	chr2	182636921	182641005																																	
si603014h11	95.72		GRMZM2G110412	Chr2	178426131	178428449	Zm00001d005682	Chr2	183194823	183197373	Zm00001eb098860	chr2	182767387	182769964																																	
LOC103647388	95.72		GRMZM2G110358	Chr2	178411198	178412991	Zm00001d005681	Chr2	183180787	183181551	Zm00001eb098850	chr2	182741460	182754285																																	
hb34	95.73		GRMZM2G002915	Chr2	178781917	178784182	Zm00001d005692	Chr2	183562202	183564363	Zm00001eb098960	chr2	183128281	183130517																																	
trps5	95.73		GRMZM2G527891	Chr2	178595620	178602402	Zm00001d005687	Chr2	183363790	183370827	Zm00001eb098910	chr2	182936492	182943426																																	
LOC103647391	95.73		GRMZM2G006565	Chr2	178728674	178730272	Zm00001d005688	Chr2	183498578	183506789	Zm00001eb098940	chr2	183071103	183072982																																	
LOC103649130	95.73		GRMZM2G306328	Chr2	178742990	178745394	Zm00001d005690	Chr2	183511422	183515191	Zm00001eb098950	chr2	183086229	183087844																																	
mkkk16	95.74		GRMZM2G098828	Chr2	178911234	178919677	Zm00001d005696	Chr2	183690135	183698634	Zm00001eb099000	chr2	183256195	183264786																																	
pco108768	95.74		GRMZM2G119950	Chr2	178874706	178880548	Zm00001d005695	Chr2	183653698	183659439	Zm00001eb098990	chr2	183219873	183225590																																	
prin2	95.74		GRMZM2G119906	Chr2	178872908	178874445	Zm00001d005694	Chr2	183651912	183653332	Zm00001eb098980	chr2	183217965	183219506																																	
znf9	95.74		GRMZM2G125775	Chr2	179011181	179012357	Zm00001d005698	Chr2	183790605	183791147	Zm00001eb099020	chr2	183356516	183357383																																	
arm54	95.75		GRMZM2G425965	Chr2	179031538	179033453	Zm00001d005699	Chr2	183810719	183812320	Zm00001eb099030	chr2	183376673	183378616																																	
cl63689_1	95.75		GRMZM2G030241	Chr2	179687436	179689932	Zm00001d005716	Chr2	184487684	184490180	Zm00001eb099170	chr2	184036182	184039088																																	
anx5	95.75		GRMZM2G009136	Chr2	179524501	179529628	Zm00001d005713	Chr2	184330535	184335470	Zm00001eb099120	chr2	183879587	183884459																																	
zim15	95.75		GRMZM2G114681	Chr2	180086933	180089653	Zm00001d005726	Chr2	184842614	184845272	Zm00001eb099240	chr2	184391681	184394520																																	
